experiment,model,val_accuracy_mean,val_accuracy_std,val_bal_acc_mean,val_bal_acc_std,val_roc_auc_mean,val_roc_auc_std,val_f1_mean,val_f1_std,val_precision_mean,val_precision_std,val_sensitivity_mean,val_sensitivity_std,val_specificity_mean,val_specificity_std,test_accuracy_mean,test_accuracy_std,test_bal_acc_mean,test_bal_acc_std,test_roc_auc_mean,test_roc_auc_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,best_trial_params
Bladder Cancer vs Kidney Cancer,LightGBM,0.6993250843644545,0.02921517764814024,0.6954409294512878,0.029574432706421693,0.7543281075027995,0.018301936427721502,0.7769516430920677,0.026335784089683432,0.8693827617322443,0.01998509233211681,0.7033818589025757,0.03978686686065473,0.6875,0.05590169943749474,0.6955974842767295,0.021641069854195283,0.6572268907563025,0.021159477809368853,0.6980252100840335,0.018224157231165543,0.7829584878084919,0.017868262033118976,0.8386932359094595,0.011340508393672137,0.7344537815126051,0.02526604433339984,0.5799999999999998,0.029154759474226483,"{'imputer__n_neighbors': 4, 'clf__max_depth': 3, 'clf__num_leaves': 33, 'clf__n_estimators': 64, 'clf__lr': 0.027994566049699042, 'clf__subsample': 0.8770038935400851, 'clf__colsample_bytree': 0.6654903030153235, 'clf__min_child_samples': 24, 'clf__reg_lambda': 0.2706556929817152, 'clf__lambda_l1': 0.001971323536014294, 'clf__lambda_l2': 3.545486056323524, 'clf__min_split_gain': 0.222763452517233}"
Bladder Cancer vs Kidney Cancer,CatBoost,0.6835520559930008,0.039548785682351865,0.7055039193729004,0.03312168607615394,0.7604255319148937,0.028967031912490105,0.756059987601744,0.037941597607512326,0.886878278584161,0.022741578068854757,0.6610078387458007,0.055296448638666625,0.75,0.05590169943749474,0.6578616352201258,0.019323637101556244,0.6353361344537816,0.019843835446801652,0.7050420168067226,0.013600081624100329,0.7484135367892689,0.016997709392964834,0.8316704805491991,0.012514321608353486,0.680672268907563,0.02435525503561249,0.5900000000000001,0.03391164991562635,"{'imputer__n_neighbors': 11, 'clf__depth': 13, 'clf__lr': 0.0100174894083604, 'clf__iters': 100, 'clf__l2_leaf_reg': 5.132635571956592, 'clf__bagging_temperature': 3.211994810030334, 'clf__border_count': 122, 'clf__random_strength': 1.854909227325491}"
Prostate Cancer vs Cystitis,XGBoost,0.8440259740259741,0.04862834362464797,0.8217926548089591,0.058290862556480826,0.8872364953886693,0.03127451926658396,0.8779716280451575,0.03447170774718067,0.8165361319966584,0.059275409272231024,0.9566287878787879,0.06112584866955976,0.6869565217391305,0.13858589087399328,0.8318840579710145,0.011594202898550687,0.8047413793103448,0.012905146499870313,0.8543103448275863,0.019868772815017838,0.870541817732829,0.008597205248869427,0.7865046018407362,0.011695033012091755,975,0.01581138830084191,0.6344827586206897,0.02758620689655173,"{'imputer__n_neighbors': 3, 'clf__max_depth': 9, 'clf__n_estimators': 174, 'clf__lr': 0.013942414371303053, 'clf__subsample': 0.8601502346365242, 'clf__colsample_bytree': 0.9461984701089485, 'clf__min_child_weight': 4.497024041430144, 'clf__gamma': 0.6578292803930917, 'clf__reg_alpha': 0.3014250471827672, 'clf__reg_lambda': 0.15978862168816993, 'clf__scale_pos_weight': 1.8948571695223326}"
Prostate Cancer vs Cystitis,LightGBM,0.8440909090909091,0.03780113252053051,0.8305418313570488,0.04903170500882935,0.8608942687747035,0.028291063467703124,0.87318890275412,0.02519835962551229,0.8416953464036008,0.06060371842408315,0.9132575757575758,0.04533048094048512,0.7478260869565218,0.12720642468111124,0.8231884057971015,0.019226810378871886,0.8067241379310346,0.019235152249077327,0.8631034482758622,0.01572088593111018,0.8563829380990567,0.016208272767905974,0.8090278361786225,0.01495197660230106,0.9099999999999999,0.02549509756796391,0.7034482758620689,0.027586206896551727,"{'imputer__n_neighbors': 4, 'clf__max_depth': 10, 'clf__num_leaves': 47, 'clf__n_estimators': 89, 'clf__lr': 0.05786668848968516, 'clf__subsample': 0.7530700271980203, 'clf__colsample_bytree': 0.7063140578796533, 'clf__min_child_samples': 11, 'clf__reg_lambda': 0.07275426003626094, 'clf__lambda_l1': 0.004529900713059055, 'clf__lambda_l2': 4.117656187690997, 'clf__min_split_gain': 0.3814211397604781}"
Prostate Cancer vs Cystitis,CatBoost,0.8406493506493506,0.026218331578831126,0.8261940052700922,0.03279150369258484,0.8580698287220028,0.033022263541949246,0.8699422898720528,0.020146942207477054,0.8344736604319147,0.04233240183292043,0.9132575757575758,0.053255070202711065,0.7391304347826086,0.09525609695742021,0.846376811594203,0.011594202898550737,0.8295689655172416,0.00923500809713249,0.8686206896551724,0.019118505207764317,0.8756769091347689,0.01169098152038966,0.8240209682392846,0.00824736808061878,0.9349999999999999,0.02999999999999998,0.7241379310344828,0.021808811449437072,"{'imputer__n_neighbors': 6, 'clf__depth': 8, 'clf__lr': 0.05773223437539962, 'clf__iters': 120, 'clf__l2_leaf_reg': 4.9748980665752125, 'clf__bagging_temperature': 0.1269143929724988, 'clf__border_count': 43, 'clf__random_strength': 1.7403157612253257}"
Bladder Cancer vs Cystitis,XGBoost,0.8911632623497031,0.025916895839000146,0.8928540824772384,0.020223446148752475,0.9489235113686159,0.020049145554483193,0.9290496484206381,0.017936811984607535,0.9724441012296314,0.008754106136694346,0.8900559910414334,0.033707343561166,0.8956521739130434,0.03478260869565219,0.8734693877551021,0.016993191832376613,0.8795733489187609,0.030495567963054075,0.9325540619520748,0.013848465897949629,0.9168693348522595,0.011258561496932032,0.9700085932208242,0.015720279297895327,0.8694915254237288,0.015717997449992707,0.8896551724137931,0.05932638115201812,"{'imputer__n_neighbors': 30, 'clf__max_depth': 7, 'clf__n_estimators': 134, 'clf__lr': 0.018522137340921403, 'clf__subsample': 0.7725298896583285, 'clf__colsample_bytree': 0.8717988622267715, 'clf__min_child_weight': 3.0171679574109787, 'clf__gamma': 0.3024997496377518, 'clf__reg_alpha': 0.015747107478448385, 'clf__reg_lambda': 1.2192000900849964, 'clf__scale_pos_weight': 0.6671933752063727}"
Bladder Cancer vs Cystitis,LightGBM,0.9149500217296828,0.025391057579917123,0.9076245192073618,0.03407555525287536,0.9601110083256245,0.012077793119707829,0.9455013857248495,0.016901332743104368,0.9733194270616048,0.014846698329356024,0.9195968645016798,0.025840845294499294,0.8956521739130434,0.05897678246195885,0.8857142857142858,0.02523433604216517,0.8845996493278785,0.04176496134794793,0.9430450029222677,0.012438841000044921,0.9256680793325689,0.016457199514942723,0.9686303125555462,0.0189714464984491,0.8864406779661017,0.016606710120563924,0.8827586206896552,0.07100434579991036,"{'imputer__n_neighbors': 30, 'clf__max_depth': 3, 'clf__num_leaves': 41, 'clf__n_estimators': 53, 'clf__lr': 0.07181075338104212, 'clf__subsample': 0.7807846941740044, 'clf__colsample_bytree': 0.8514464568473967, 'clf__min_child_samples': 13, 'clf__reg_lambda': 0.28271931327543653, 'clf__lambda_l1': 0.18557613005990262, 'clf__lambda_l2': 0.13952404327335227, 'clf__min_split_gain': 0.28083915639938495}"
Bladder Cancer vs Cystitis,CatBoost,0.9217151962914674,0.0176242120653167,0.9184142363308826,0.024199944032515665,0.9567661521982569,0.02548833760969647,0.9498253819151842,0.011835058487230522,0.9779961293765048,0.01383101169352873,0.9237849944008957,0.024799579478087464,0.9130434782608695,0.05499613322031966,0.889795918367347,0.011703843900738281,0.8767387492694331,0.01852902069970015,0.9265341905318527,0.01368619975332868,0.9289944982087366,0.007632710593866414,0.9619441197422848,0.008637009592458049,0.8983050847457626,0.010719585288706394,0.8551724137931034,0.03378606541769899,"{'imputer__n_neighbors': 30, 'clf__depth': 15, 'clf__lr': 0.1699731828440766, 'clf__iters': 160, 'clf__l2_leaf_reg': 6.337793375226892, 'clf__bagging_temperature': 0.5278239457411683, 'clf__border_count': 115, 'clf__random_strength': 1.2770446011965682}"
Bladder Cancer vs Prostate Cancer,XGBoost,0.9478440194975628,0.011903316787705539,0.9424050273168415,0.013358568984086886,0.9764571456445756,0.009464116684362155,0.964576802462464,0.008168433172697297,0.9761982950327234,0.00801258383176362,0.9533706606942889,0.01435339493301626,0.9314393939393939,0.02369014617328611,0.9333333333333332,0.007547169811320753,0.9239285714285714,0.008464952857319007,0.9670168067226891,0.004069344542118677,0.9548350662383835,0.005583695190971994,0.9674661232802535,0.00900967463890216,0.9428571428571428,0.017139561390227837,0.9049999999999999,0.02915475947422653,"{'imputer__n_neighbors': 29, 'clf__max_depth': 9, 'clf__n_estimators': 156, 'clf__lr': 0.0577141667091387, 'clf__subsample': 0.9112502052779006, 'clf__colsample_bytree': 0.9416863381581924, 'clf__min_child_weight': 3.612204579051981, 'clf__gamma': 0.37395597239233336, 'clf__reg_alpha': 0.7818236189338907, 'clf__reg_lambda': 0.8252824489913837, 'clf__scale_pos_weight': 0.8167861863073779}"
Bladder Cancer vs Prostate Cancer,LightGBM,0.9573553305836769,0.02095886267561243,0.954993913095117,0.02144779651351208,0.9832815628287352,0.008125260247257127,0.9709840657404143,0.014389869889361636,0.9825817061727659,0.00879898319047801,0.9597984322508399,0.021479436245185186,0.950189393939394,0.025144497469315023,0.9459119496855347,0.00641386102338715,0.9356512605042017,0.006785616722768184,0.9707563025210083,0.006259517151900014,0.9635762840225401,0.004437657890895719,0.9710103357708368,0.004013589364026914,0.9563025210084033,0.008233578967338425,915,0.012247448713915901,"{'imputer__n_neighbors': 29, 'clf__max_depth': 9, 'clf__num_leaves': 44, 'clf__n_estimators': 121, 'clf__lr': 0.06124259320230313, 'clf__subsample': 0.8086151009564736, 'clf__colsample_bytree': 0.8678589776344863, 'clf__min_child_samples': 18, 'clf__reg_lambda': 0.20976478950052693, 'clf__lambda_l1': 0.0027733118251499988, 'clf__lambda_l2': 1.814656635564716, 'clf__min_split_gain': 0.4805376634425482}"
Bladder Cancer vs Prostate Cancer,CatBoost,0.9526184226971628,0.01799490318965802,0.9497300553123622,0.021619894369091022,0.9833590807289017,0.008631519722859669,0.9677865665840641,0.01225664786720961,0.9804332242480911,0.010649487251681088,0.9555207166853303,0.015527259713606873,0.943939393939394,0.03077520393477213,0.9421383647798741,0.016592334538708068,0.9381092436974792,0.0200155516473223,0.9703361344537814,0.006841647098375743,0.960718817267557,0.011368653213738224,0.9757392281848638,0.010078172860509934,0.946218487394958,0.014651761154758561,0.93,0.02915475947422648,"{'imputer__n_neighbors': 29, 'clf__depth': 6, 'clf__lr': 0.056270915757818944, 'clf__iters': 160, 'clf__l2_leaf_reg': 6.237074698757885, 'clf__bagging_temperature': 0.45969791263242854, 'clf__border_count': 176, 'clf__random_strength': 0.7664845934209857}"
